lane,run_index,boundary_index,boundary_temperature_c,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,calls_with_gc_activity,exceedances_with_gc_activity,nonzero_allocation_calls,fallback_calls
B,1,279,276.49290496110916,64,5,5.1,5.3,2,279,0,0,0,0,0,0
B,1,280,276.68489103913305,64,5.1,5.2,5.4,3,280,0,0,0,0,0,0
B,1,281,276.88175147771847,64,5,5.3,10.4,30,281,0,0,0,0,0,0
B,1,282,277.0836132824419,64,5,5.2,5.4,0,282,0,0,0,0,0,0
B,1,283,277.28852211534956,64,5,5.1,7,2,283,0,0,0,0,0,0
B,1,284,277.4965558946134,64,5,5.1,5.2,2,284,0,0,0,0,0,0
B,1,285,277.70717749595633,64,5,5.1,20.3,22,285,0,0,0,0,0,0
B,1,286,277.9191054522993,64,5,5.1,6.7,1,286,0,0,0,0,0,0
B,1,287,278.13301288485525,64,5,5.1,6.7,1,287,0,0,0,0,0,0
B,1,288,278.3475722014904,64,5,5.1,7.1,2,288,0,0,0,0,0,0
B,1,289,278.56269953846925,64,5,5.1,9.4,2,289,0,0,0,0,0,0
B,1,290,278.77853245735173,64,5,5.1,5.2,2,290,0,0,0,0,0,0
B,1,291,278.99378421306585,64,5,5.1,5.2,2,291,0,0,0,0,0,0
B,1,292,279.20919802188894,64,5,5.3,6.6,1,292,0,0,0,0,0,0
B,1,293,279.42397137880334,64,5,5.2,5.4,3,293,0,0,0,0,0,0
B,1,294,279.63773699402816,64,5,5.1,7.1,2,294,0,0,0,0,0,0
B,1,295,279.8510682284831,64,5,5.1,5.4,2,295,0,0,0,0,0,0
B,1,296,280,64,3.7,3.8,3.9,2,296,0,0,0,0,0,0
B,1,297,280.0627813100815,64,5,5.4,6.8,1,297,0,0,0,0,0,0
B,1,298,280.2734861910343,64,5,5.1,6.7,1,298,0,0,0,0,0,0
B,1,299,280.48288751244525,64,5,5.1,5.4,0,299,0,0,0,0,0,0
B,1,300,280.6903158664703,64,5,5.1,6.9,2,300,0,0,0,0,0,0
B,1,301,280.8963150322435,64,5,5.1,5.2,2,301,0,0,0,0,0,0
B,1,302,281.1006812334059,64,5,5.1,6.5,15,302,0,0,0,0,0,0
B,1,303,281.3032880485058,64,5,5.2,6.9,0,303,0,0,0,0,0,0
B,1,304,281.5040671765804,64,5,5.1,5.6,1,304,0,0,0,0,0,0
B,1,305,281.7029600799086,64,5,5.1,7.1,2,305,0,0,0,0,0,0
B,1,306,281.8999184429648,64,5,5.1,6.5,36,306,0,0,0,0,0,0
B,1,307,282.0949025034904,64,5,5.1,5.2,2,307,0,0,0,0,0,0
